,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
0,83,retired,divorced,basic.4y,no,no,no,cellular,nov,tue,242.0,1,3,3,success,yes
1,32,services,married,high.school,no,no,no,telephone,may,tue,190.0,3,999,0,nonexistent,no
2,31,admin.,single,university.degree,no,yes,no,telephone,may,wed,325.0,2,999,0,nonexistent,no
3,33,admin.,single,university.degree,no,yes,no,telephone,aug,thu,158.0,1,999,0,nonexistent,no
4,39,services,married,high.school,no,yes,no,telephone,jul,mon,158.0,1,999,0,nonexistent,no
5,57,management,married,university.degree,no,no,no,cellular,jul,tue,101.0,1,999,0,nonexistent,no
6,37,admin.,married,university.degree,unknown,no,no,cellular,aug,thu,105.0,1,999,0,nonexistent,no
7,40,management,married,university.degree,unknown,no,no,cellular,apr,mon,28.0,7,999,0,nonexistent,no
8,35,admin.,single,university.degree,no,yes,yes,cellular,apr,thu,58.0,1,999,1,failure,no
9,46,admin.,married,university.degree,no,no,no,cellular,nov,thu,358.0,1,999,1,failure,no
10,35,management,married,university.degree,no,yes,yes,telephone,jul,thu,165.0,1,999,1,failure,no
11,57,retired,married,professional.course,no,no,no,cellular,aug,wed,508.0,4,999,0,nonexistent,no
12,31,technician,single,university.degree,no,yes,yes,cellular,nov,mon,118.0,2,999,0,nonexistent,no
13,54,services,married,basic.9y,no,yes,yes,cellular,nov,mon,175.0,3,999,0,nonexistent,no
14,26,admin.,married,high.school,no,no,no,cellular,apr,mon,190.0,1,999,0,nonexistent,no
15,31,management,married,university.degree,no,no,no,telephone,may,mon,100.0,8,999,0,nonexistent,no
16,36,technician,married,professional.course,no,yes,no,cellular,aug,mon,45.0,1,999,0,nonexistent,no
17,31,blue-collar,single,high.school,no,no,no,telephone,jun,fri,672.0,2,999,0,nonexistent,no
18,37,services,married,high.school,no,no,no,cellular,may,thu,262.0,2,999,0,nonexistent,no
19,37,admin.,single,high.school,no,yes,no,cellular,may,fri,326.0,5,999,2,failure,yes
20,55,blue-collar,divorced,basic.4y,unknown,yes,no,cellular,may,wed,254.0,3,999,0,nonexistent,no
21,41,admin.,married,university.degree,no,yes,yes,telephone,jun,wed,802.0,3,999,0,nonexistent,no
22,30,admin.,single,university.degree,unknown,yes,no,telephone,jul,mon,256.0,2,999,0,nonexistent,no
23,30,admin.,single,high.school,no,no,no,cellular,may,tue,154.0,1,999,0,nonexistent,no
24,53,housemaid,married,unknown,no,yes,no,cellular,nov,thu,104.0,5,999,0,nonexistent,no
25,31,services,single,high.school,unknown,yes,no,cellular,nov,mon,130.0,3,999,0,nonexistent,no
26,50,admin.,married,university.degree,no,no,yes,cellular,aug,thu,460.0,1,15,2,failure,yes
27,32,admin.,single,high.school,no,no,no,telephone,may,wed,103.0,2,999,0,nonexistent,no
28,46,services,married,high.school,no,no,no,telephone,jul,wed,83.0,3,999,0,nonexistent,no
29,32,services,single,high.school,no,no,no,telephone,may,wed,380.0,4,999,0,nonexistent,no
30,26,self-employed,married,university.degree,no,yes,yes,cellular,jul,tue,45.0,3,999,0,nonexistent,no
31,45,technician,married,high.school,no,no,no,cellular,jul,tue,58.0,1,999,0,nonexistent,no
32,70,admin.,married,basic.4y,no,no,no,cellular,sep,tue,111.0,1,3,1,success,no
33,37,admin.,single,university.degree,no,yes,no,cellular,may,tue,414.0,5,999,0,nonexistent,no
34,38,blue-collar,married,basic.9y,no,yes,yes,telephone,may,wed,388.0,1,999,0,nonexistent,no
35,51,blue-collar,married,basic.4y,no,yes,no,cellular,nov,mon,346.0,1,999,0,nonexistent,no
36,32,blue-collar,single,basic.6y,unknown,no,no,cellular,may,fri,19.0,6,999,0,nonexistent,no
37,40,services,single,high.school,unknown,yes,no,telephone,may,thu,381.0,7,999,0,nonexistent,no
38,39,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,829.0,1,999,0,nonexistent,no
39,33,housemaid,married,basic.4y,no,yes,no,cellular,apr,mon,8.0,3,999,0,nonexistent,no
40,40,blue-collar,divorced,professional.course,no,no,no,cellular,jun,wed,210.0,2,999,0,nonexistent,yes
41,34,services,married,high.school,unknown,yes,yes,telephone,may,tue,441.0,9,999,0,nonexistent,no
42,38,admin.,divorced,high.school,no,no,no,cellular,may,mon,344.0,1,999,0,nonexistent,no
43,38,admin.,married,high.school,no,unknown,unknown,cellular,may,fri,295.0,2,999,0,nonexistent,no
44,35,admin.,single,high.school,no,no,no,cellular,may,fri,282.0,5,999,0,nonexistent,no
45,24,technician,married,professional.course,no,yes,no,cellular,may,mon,342.0,4,999,0,nonexistent,no
46,47,blue-collar,married,basic.9y,no,unknown,unknown,cellular,apr,mon,72.0,3,999,0,nonexistent,no
47,29,blue-collar,divorced,high.school,no,yes,no,cellular,may,fri,1452.0,1,999,0,nonexistent,no
48,33,self-employed,married,professional.course,no,yes,no,telephone,jun,mon,141.0,4,999,0,nonexistent,no
49,31,entrepreneur,married,high.school,no,yes,no,telephone,jun,thu,133.0,1,999,0,nonexistent,no
50,35,admin.,married,university.degree,no,yes,no,telephone,sep,wed,234.0,1,999,0,nonexistent,yes
51,34,unknown,married,basic.6y,no,yes,no,cellular,aug,wed,713.0,1,999,0,nonexistent,no
52,36,technician,married,basic.6y,no,no,no,cellular,apr,mon,316.0,2,999,1,failure,no
53,34,blue-collar,married,basic.6y,no,yes,no,cellular,may,wed,716.0,1,999,0,nonexistent,yes
54,50,housemaid,married,basic.9y,no,no,no,cellular,may,mon,207.0,3,999,0,nonexistent,no
55,26,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,tue,106.0,1,999,0,nonexistent,no
56,32,admin.,married,professional.course,no,yes,no,cellular,nov,thu,88.0,2,999,0,nonexistent,no
57,55,management,married,university.degree,no,no,no,cellular,aug,fri,72.0,1,999,1,failure,no
58,30,student,single,high.school,no,no,no,cellular,may,fri,226.0,2,3,2,success,yes
59,24,blue-collar,single,basic.9y,no,no,yes,cellular,may,thu,51.0,1,999,1,failure,no
60,52,retired,married,basic.4y,unknown,no,no,cellular,apr,thu,204.0,1,999,1,failure,no
61,34,admin.,married,university.degree,unknown,yes,no,cellular,aug,thu,114.0,5,999,0,nonexistent,no
62,25,blue-collar,single,basic.6y,no,yes,no,cellular,may,thu,95.0,2,999,0,nonexistent,no
63,36,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,thu,218.0,1,999,0,nonexistent,no
64,31,blue-collar,married,high.school,no,no,no,cellular,may,mon,128.0,1,999,0,nonexistent,no
65,59,technician,married,university.degree,unknown,no,no,cellular,jul,thu,213.0,10,999,0,nonexistent,no
